Data;Hora;Moeda;Qtd;Tipo;Status
2022-01-21;12:14:32;BNB;18,8;ENTRADA;Origem Externa
2022-01-21;20:50:12;UST;4169,0;SAÍDA;Para Carteira Externa
2022-01-21;21:05:48;UST;20000,0;SAÍDA;Para Carteira Externa
2022-01-24;13:30:54;SOL;0,5;SAÍDA;Para Carteira Externa
2022-01-24;13:34:42;UST;17019,0;SAÍDA;Para Carteira Externa
2022-01-24;20:18:40;UST;23259,0;SAÍDA;Para Carteira Externa
2022-01-26;17:15:12;SOL;0,60310617;ENTRADA;Origem Externa
2022-01-26;17:34:40;SOL;41,87572433;ENTRADA;Origem Externa
2022-01-26;17:58:44;USDT;4195,5673;SAÍDA;Para Carteira Externa
2022-01-28;11:42:36;UST;25500,0;ENTRADA;Origem Externa
2022-01-28;12:04:44;USDT;25247,791;SAÍDA;Para Carteira Externa
2022-01-28;12:36:08;UST;10040,0;ENTRADA;Origem Externa
2022-01-31;11:56:36;LUNA;3,53062;ENTRADA;Origem Externa
2022-01-31;11:58:08;UST;16,834708;ENTRADA;Origem Externa
2022-02-01;11:31:30;UST;330,0;ENTRADA;Origem Externa
2022-02-01;11:33:36;LUNA;3,981212;ENTRADA;Origem Externa
2022-02-01;13:56:32;ADA;10000,0;ENTRADA;Origem Externa
2022-02-02;13:44:44;BTC;0,0244253;SAÍDA;Para Carteira Externa
2022-02-04;13:34:00;ADA;450,0;SAÍDA;Para Carteira Externa
